"g_id","g_name","g_time","description","style","avg_rating"
"30","The Forest","2024-06-26","《森林》是由加拿大独立游戏开发商Endnight Games发行的恐怖冒险类游戏。玩家将扮演因空难迷失在森林里的主角，在诡异生物的追杀下努力存活下去。游戏中玩家可以制作各类武器道具，以此提高自己的生存机会。","开放世界生存制作，恐怖，生存，开放世界，制作","0"
"24","It Takes Two","2024-07-10","It takes two（双人成行），是Hazelight Studios开发的动作冒险游戏，在游戏中两位玩家分别操作泥土制作的小土偶与木头制作的小木偶，在这两小人视角下结识各种奇特和可爱的角色。团结一致，一起开启一场奇幻的破镜重圆之旅！在克服挑战的相处中发现真挚情感。帮助 Cody 和 May 学习如何克服他们之间的分歧。","合作，多人，分屏，解谜，在线合作，本地合作","0"
"20","Dead By Daylight","2024-07-05","《Dead by Daylight》是一款由Behaviour Interactive开发的多人恐怖生存游戏。玩家将分为幸存者和杀手两个阵营，在各自的角色中展开紧张的对抗和生存竞技。","动作，血腥，暴力，恐怖","0"
"16","Terraria","2024-07-02","《Terraria》是一款由Re-Logic开发的沙盒冒险游戏。玩家将在像素风格的2D世界中探索、挖掘、建造和战斗，体验无限的冒险和创造乐趣。","开放世界生存制作，沙盒，生存，2D，多人，冒险","0"
"22","Rust","2024-07-18","《Rust》是一款由Facepunch Studios开发的多人生存游戏。玩家将在一个开放世界环境中，通过收集资源、建造基地和与其他玩家互动，体验生存、合作和竞争的全新挑战。","生存，制作，多人，开放世界，开放世界生存制作","0"
"21","APEX","2024-07-02","《Apex Legends》是一款由Respawn Entertainment开发的免费大逃杀射击游戏。玩家将在一个科幻世界中，与其他玩家组队，选择不同的英雄角色，展开激烈的战斗，争夺最后的生存和胜利。","大逃杀，多人，第一人称射击，射击","5"
"28","Escape the Backrooms","2024-07-06","《Escape the Backrooms》 是一款1-4人合作的恐怖探索游戏。 穿越阴森恐怖的密室关卡，同时避开实体和其他危险，试图逃脱。 ","恐怖，多人，在线合作，心理恐怖，合作，探索","0"
"27","Resident Evil 4","2024-07-13","《Resident Evil 4》是一款由Capcom开发的经典恐怖生存动作游戏。玩家将扮演特工莱昂·S·肯尼迪（Leon S. Kennedy），在一个废弃的欧洲村庄中与各种怪物和敌人作战，揭露背后的恐怖阴谋。","恐怖，动作，生存恐怖，第三人称射击，僵尸，3D","0"
"26","深海迷航","2024-07-14","《深海迷航》是一款由Unknown Worlds Entertainment开发的深海主题沙盒生存建造游戏。在未来世界，一次飞船失事后，玩家所扮演的宇航员掉落在异星球的海洋里，玩家要在想办法生存下去的同时，尝试探索飞船失事的原因。","开放世界生存制作，生存，恐怖，水底，开放世界","9"
"12","Riders Republic","2024-07-17","《Riders Republic》是一款由Ubisoft Annecy开发的极限运动游戏。玩家将在广阔的户外环境中体验多种极限运动，包括滑雪、滑板、山地自行车和翼装飞行等，挑战极限和展示技能。","竞速，开放世界，大型多人在线，体育，多人","9"
"6","只狼","2024-07-17","《只狼：影逝二度》（Sekiro: Shadows Die Twice）是一款由FromSoftware开发的动作冒险游戏。游戏设定在战国时代的日本，玩家将扮演一名被背叛的忍者，追寻复仇的旅程。","类魂系列，困难，动作，单人，忍者，潜行","0"
"2","英雄联盟","2024-07-04","《英雄联盟》（League of Legends）是一款由Riot Games开发的多人在线战斗竞技游戏（MOBA）。在这个充满策略和团队合作的世界中，玩家将操控各种强大的英雄角色，与对手展开激烈的战斗。","MOBA，合作，策略，竞技，角色扮演","6.5"
